ID,Name,Group,SMILES,CorrosionRate,AvgProtectPercent
CORR1056,Ethanolamine,Amine,NC(CO)O,1.11,88.09
CORR1057,Benzotriazole,Triazole,C1=CC2=NNN=C2C=C1,0.20,98.00
CORR1058,2-Mercaptobenzothiazole,Thiazole,C1=CC=C2C(=C1)NC(=S)S2,0.28,97.19
CORR1059,CORR1019 (2-undecyl-1-aminoethyl imidazoline),imidazoline,CCCCCCCCCCCC1=NCCN1C(C)N,0.33,96.98
CORR1060,CORR1020 (2-undecyl-1-hydroxyethyl imidazoline),imidazoline,CCCCCCCCCCCC1=NCCN1CCO,0.38,96.55
CORR1061,"3-undecane-4-aryl-5-mercapto-1,2,4-triazole",fatty acid triazole,C1(=NC(=S)NN1)N,0.42,96.03
CORR1062,indole,aromatic heterocycle,C1=CC=C2C(=C1)C=CN2,0.49,95.11
CORR1063,1H-benzotriazole,fatty acid triazole,C1=CC2=NNN=C2C=C1,0.51,94.41
CORR1064,"1,3-Benzothiazole ",fatty acid triazole,C1=CC=C2C(=C1)N=CS2,0.56,94.05
CORR1065,"4-Amino-5-mercapto-1,2,4-triazole ",fatty acid triazole,c1(=S)[nH]nc(n1N)NN,0.58,93.75
CORR1066,(1H-benzo[d]imidazol-2-yl)methanamine,Dimerized amido-amines,C1=CC=C2C(=C1)NC(=N2)CN,0.63,93.59
CORR1067,Amino Trimethylene Phosphonic Acid (ATMP),Phosphonic acid,C(CP(=O)(O)O)N,0.65,93.12
CORR1068,Phosphoric Acid,Phosphoric acid,O=P(O)(O)O,0.74,92.76
CORR1069,Triazole derivatives,Triazole,C1=CC=C(N2C=NC=N2)N=C1,0.77,92.69
CORR1070,Imidazole derivatives,Imidazole,C1=CN=CN1,0.81,92.19
CORR1071,Organic Phosphonates,Phosphonate,C(CP(=O)(O)O)(C(=O)O)O,0.87,91.49
CORR1072,Thiourea derivatives,Thiourea,C(=S)(N)N,0.95,91.36
CORR1073,Polyethylene Glycol (PEG) derivatives,Polyether,OCCOCCOCCO,1.00,91.17
CORR1074,Orthophosphoric Acid,Phosphoric acid,OP(O)(O)=O,1.03,90.25
CORR1075,Ethanolamine,Amine,NC(CO)O,1.04,90.14
CORR1076,Benzotriazole,Triazole,C1=CC2=NNN=C2C=C1,0.20,98.00
CORR1077,2-Mercaptobenzothiazole,Thiazole,C1=CC=C2C(=C1)NC(=S)S2,0.22,97.34
CORR1078,CORR1019 (2-undecyl-1-aminoethyl imidazoline),imidazoline,CCCCCCCCCCCC1=NCCN1C(C)N,0.31,97.02
CORR1079,CORR1020 (2-undecyl-1-hydroxyethyl imidazoline),imidazoline,CCCCCCCCCCCC1=NCCN1CCO,0.35,96.15
CORR1080,"3-undecane-4-aryl-5-mercapto-1,2,4-triazole",fatty acid triazole,C1(=NC(=S)NN1)N,0.42,95.47
CORR1081,indole,aromatic heterocycle,C1=CC=C2C(=C1)C=CN2,0.47,95.16
CORR1082,1H-benzotriazole,fatty acid triazole,C1=CC2=NNN=C2C=C1,0.47,94.31
CORR1083,"1,3-Benzothiazole ",fatty acid triazole,C1=CC=C2C(=C1)N=CS2,0.51,93.56
CORR1084,"4-Amino-5-mercapto-1,2,4-triazole ",fatty acid triazole,c1(=S)[nH]nc(n1N)NN,0.56,93.48
CORR1085,(1H-benzo[d]imidazol-2-yl)methanamine,Dimerized amido-amines,C1=CC=C2C(=C1)NC(=N2)CN,0.61,93.35
CORR1086,Amino Trimethylene Phosphonic Acid (ATMP),Phosphonic acid,C(CP(=O)(O)O)N,0.65,92.39
CORR1087,Phosphoric Acid,Phosphoric acid,O=P(O)(O)O,0.73,91.59
CORR1088,Triazole derivatives,Triazole,C1=CC=C(N2C=NC=N2)N=C1,0.81,90.79
CORR1089,Imidazole derivatives,Imidazole,C1=CN=CN1,0.84,89.95
CORR1090,Organic Phosphonates,Phosphonate,C(CP(=O)(O)O)(C(=O)O)O,0.86,89.11
CORR1091,Thiourea derivatives,Thiourea,C(=S)(N)N,0.87,89.01
CORR1092,Polyethylene Glycol (PEG) derivatives,Polyether,OCCOCCOCCO,0.93,88.93
CORR1093,Orthophosphoric Acid,Phosphoric acid,OP(O)(O)=O,0.94,88.15
CORR1094,Ethanolamine,Amine,NC(CO)O,0.95,87.59
